DATA       TAB_SQL                        REG_SQL        TAB_TERA                       REG_TERA             Diferenca            
20170531   WD_IN_PRSE_CEOR                7              WD_IN_PRSE_CEOR                                   7                     0
20170531   WD_IN_RESULTADO_EOF_CEOR       10             WD_IN_RESULTADO_EOF_CEOR                         10                     0
20170531   WD_IN_RESULTADO_LEI_CEOR       10             WD_IN_RESULTADO_LEI_CEOR                         10                     0
20170531   WD_IN_RESULTADO_RECEITA        7              WD_IN_RESULTADO_RECEITA                           7                     0
20170531   WD_IN_RP_RESULTADO_EOF_CEOR    11             WD_IN_RP_RESULTADO_EOF_CEOR                      11                     0
20170531   WD_IN_RP_RESULTADO_LEI_CEOR    11             WD_IN_RP_RESULTADO_LEI_CEOR                      11                     0
20170531   WD_IN_TP_ACRESCIMO             7              WD_IN_TP_ACRESCIMO                                7                     0
20170531   WD_IN_TP_CREDITO_CEOR          9              WD_IN_TP_CREDITO_CEOR                             9                     0
20170531   WD_IN_TP_SALDO_CCON            7              WD_IN_TP_SALDO_CCON                               7                     0
20170531   WD_INDI_GEST_SACO_EVENTO       15             WD_INDI_GEST_SACO_EVENTO                         15                     0
20170531   wd_indi_GESTAO_emitente_evento 9              WD_INDI_GESTAO_EMITENTE_EVENTO                    9                     0
20170531   WD_INDI_GESTAO_FAVO_EVENTO     9              WD_INDI_GESTAO_FAVO_EVENTO                        9                     0
20170531   WD_INDI_NADE_EVENTO            6              WD_INDI_NADE_EVENTO                               6                     0
20170531   wd_indi_ug_emitente_evento     17             WD_INDI_UG_EMITENTE_EVENTO                       17                     0
20170531   WD_INDI_UG_FAVORECIDO_EVENTO   19             WD_INDI_UG_FAVORECIDO_EVENTO                     19                     0
20170531   WD_INDI_UG_SACO_EVENTO         39             WD_INDI_UG_SACO_EVENTO                           39                     0
20170531   WD_INDICADOR_EFEITO_ICC        6              WD_INDICADOR_EFEITO_ICC                           6                     0
20170531   WD_INICIATIVA_PT               1027           WD_INICIATIVA_PT                               1027                     0
20170531   WD_INTEGRACAO_BALANCO_CCON     5              WD_INTEGRACAO_BALANCO_CCON                        5                     0
20170531   WD_ITEM_CCON                   5633           WD_ITEM_CCON                                   5633                     0
20170531   WD_ITEM_DECODIFICADO_CCON      7964           WD_ITEM_DECODIFICADO_CCON                      7964                     0
20170531   WD_ITEM_EXERCICIO_CCON         45797          WD_ITEM_EXERCICIO_CCON                        45797                     0
20170531   WD_ITEM_INFORMACAO             106            WD_ITEM_INFORMACAO                              106                     0
20170531   WD_JORNADA_CARGO               12             WD_JORNADA_CARGO                                 12                     0
20170531   WD_JORNADA_TRABALHO            20             WD_JORNADA_TRABALHO                              20                     0
20170531   WD_LANC_NSSALDO_CCON           6              WD_LANC_NSSALDO_CCON                              6                     0
20170531   WD_LANCAMENTO_ORGAO_CCON       6              WD_LANCAMENTO_ORGAO_CCON                          6                     0
20170531   WD_LANCAMENTO_UG_CCON          6              WD_LANCAMENTO_UG_CCON                             6                     0
20170531   WD_LINHA_EVENTO_NC             7860549        WD_LINHA_EVENTO_NC                          7860549                     0
20170531   WD_LINHA_EVENTO_ND             12709998       WD_LINHA_EVENTO_ND                         12709998                     0
20170531   WD_LINHA_EVENTO_NL             25462192       WD_LINHA_EVENTO_NL                         25462192                     0
20170531   WD_LINHA_EVENTO_NS             212392406      WD_LINHA_EVENTO_NS                        212392406                     0
20170531   WD_LINHA_EVENTO_NT             147199         WD_LINHA_EVENTO_NT                           147199                     0
20170531   WD_LINHA_EVENTO_OB             92395662       WD_LINHA_EVENTO_OB                         92395662                     0
20170531   WD_LINHA_EVENTO_PE             1483046        WD_LINHA_EVENTO_PE                          1483046                     0
20170531   WD_LINHA_EVENTO_PF             12826380       WD_LINHA_EVENTO_PF                         12826380                     0
20170531   WD_LINHA_EVENTO_RA             557459038      WD_LINHA_EVENTO_RA                        557459038                     0
20170531   WD_LISTA_BANCO_OB              60552309       WD_LISTA_BANCO_OB                          60552309                     0
20170531   WD_LISTA_CREDOR_OB             90878849       WD_LISTA_CREDOR_OB                         90878849                     0
20170531   WD_LISTA_FATURA_OB             61535204       WD_LISTA_FATURA_OB                         61535204                     0
20170531   WD_LISTA_ITENS_NE              37358183       WD_LISTA_ITENS_NE                          37358183                     0
20170531   WD_LISTA_PRECATORIO_OB         64554724       WD_LISTA_PRECATORIO_OB                     63506148               1048576
20170531   WD_LOCALIZADOR_GASTO_PT        154562         WD_LOCALIZADOR_GASTO_PT                      154562                     0
20170531   WD_MATRIZ_FILIAL_UG            6              WD_MATRIZ_FILIAL_UG                               6                     0
20170531   WD_MEIO_PAGAMENTO_RA           7              WD_MEIO_PAGAMENTO_RA                              7                     0
20170531   WD_MES                         528            WD_MES                                          528                     0
20170531   WD_MES_BASE                    18             WD_MES_BASE                                      18                     0
20170531   WD_MODALIDADE_APLICACAO_NADE   64             WD_MODALIDADE_APLICACAO_NADE                     64                     0
20170531   WD_MODALIDADE_LICITACAO_NE     14             WD_MODALIDADE_LICITACAO_NE                       14                     0
20170531   WD_MOEDA                       329            WD_MOEDA                                        329                     0
20170531   WD_MOLI_INCOMPATIVEL_NADE      13744          WD_MOLI_INCOMPATIVEL_NADE                     13744                     0
20170531   WD_MOTIVO_INADIMPLENCIA_TV     63             WD_MOTIVO_INADIMPLENCIA_TV                       63                     0
20170531   WD_MUNICIPIO                   5656           WD_MUNICIPIO                                   5656                     0
20170531   WD_NATUREZA_CONTRATO_DIEX      5              WD_NATUREZA_CONTRATO_DIEX                         5                     0
20170531   WD_NATUREZA_DESPESA            780            WD_NATUREZA_DESPESA                             780                     0
20170531   WD_NATUREZA_DESPESA_DETA       8689           WD_NATUREZA_DESPESA_DETA                       8689                     0
20170531   WD_NATUREZA_INFORMACAO_CCON    6              WD_NATUREZA_INFORMACAO_CCON                       6                     0
20170531   WD_NATUREZA_JURIDICA_SIORG     8              WD_NATUREZA_JURIDICA_SIORG                        8                     0
20170531   WD_NATUREZA_OBRIGACAO_DIEX     9              WD_NATUREZA_OBRIGACAO_DIEX                        9                     0
20170531   WD_NATUREZA_RECEITA            2568           WD_NATUREZA_RECEITA                            2568                     0
20170531   WD_NATUREZA_RECEITA2           3127           WD_NATUREZA_RECEITA2                           3127                     0
20170531   WD_NIVEL_CARGO                 722870         WD_NIVEL_CARGO                               722870                     0
20170531   WD_NIVEL_CLASSE_CARGO_EFETIVO  145340         WD_NIVEL_CLASSE_CARGO_EFETIVO                145340                     0
20170531   WD_NIVEL_FUNCAO                130205         WD_NIVEL_FUNCAO                              130205                     0
20170531   WD_OBJETIVO_PT                 497            WD_OBJETIVO_PT                                  497                     0
20170531   WD_OPCAO_PAGA_LIFA_OB          5              WD_OPCAO_PAGA_LIFA_OB                             5                     0
20170531   WD_OPER_CONTRAGARANTIA_DIEX    6              WD_OPER_CONTRAGARANTIA_DIEX                       6                     0
20170531   WD_ORCA_FISCAL_ORGAO           6              WD_ORCA_FISCAL_ORGAO                              6                     0
20170531   WD_ORGAO                       671            WD_ORGAO                                        671                     0
20170531   WD_ORGAO_AUTORIZADO_CCON       9547           WD_ORGAO_AUTORIZADO_CCON                       9547                     0
20170531   WD_ORGAO_AUTORIZADO_EVENTO     31103          WD_ORGAO_AUTORIZADO_EVENTO                    31103                     0
20170531   WD_ORGAO_DESTINO               570            WD_ORGAO_DESTINO                                570                     0
20170531   WD_ORGAO_EXERCICIO             6657           WD_ORGAO_EXERCICIO                             6657                     0
20170531   WD_ORGAO_MAXI                  67             WD_ORGAO_MAXI                                    67                     0
20170531   WD_ORGAO_ORIGEM                571            WD_ORGAO_ORIGEM                                 571                     0
20170531   WD_ORGAO_SUPE                  105            WD_ORGAO_SUPE                                   105                     0
20170531   WD_ORGAO_SUPE_EXERCICIO        4070           WD_ORGAO_SUPE_EXERCICIO                        4070                     0
20170531   WD_ORGAO_SUPERIOR_DESTINO      81             WD_ORGAO_SUPERIOR_DESTINO                        81                     0
20170531   WD_ORGAO_SUPERIOR_ORIGEM       110            WD_ORGAO_SUPERIOR_ORIGEM                        110                     0
20170531   WD_ORGAO_SUPERIOR_VINC         81             WD_ORGAO_SUPERIOR_VINC                           81                     0
20170531   WD_ORGAO_VINC                  570            WD_ORGAO_VINC                                   570                     0
20170531   WD_ORIGEM_DESTINO_SERV         10969          WD_ORIGEM_DESTINO_SERV                        10969                     0
20170531   WD_ORIGEM_INSCRICAO_EVENTO     5              WD_ORIGEM_INSCRICAO_EVENTO                        5                     0
20170531   WD_ORIGEM_MATERIAL_NE          6              WD_ORIGEM_MATERIAL_NE                             6                     0
20170531   WD_ORIGEM_RECEITA_NARE         44             WD_ORIGEM_RECEITA_NARE                           44                     0
20170531   WD_ORIGEM_RECEITA2_NARE        43             WD_ORIGEM_RECEITA2_NARE                          43                     0
20170531   WD_PAGAMENTO_GPS               184            WD_PAGAMENTO_GPS                                184                     0
20170531   WD_PAIS                        207            WD_PAIS                                         207                     0
